Ctr_1	Glu_1	Ctr_2	Glu_2	Ctr_3	Glu_3	Ctr_4	Glu_4	Ctr_5	Glu_5	Ctr_6	Glu_6
0.702	0.703	0.647	0.625	0.830	0.844	0.731	0.713	0.840	0.784	0.571	0.543
0.683	0.740	0.657	0.629	0.847	0.961	0.745	0.734	0.754	0.757	0.541	0.536
0.704	0.715	0.580	0.624	0.824	0.910	0.705	0.729	0.744	0.779	0.539	0.540
0.714	0.825	0.622	0.648	0.832	0.965	0.692	0.736	0.798	0.789	0.529	0.572
0.702	0.715	0.644	0.666	0.900	0.939	0.748	0.678	0.788	0.757	0.509	0.518
0.670	0.755	0.589	0.675	0.877	0.891	0.744	0.718	0.810	0.784	0.568	0.534
0.688	0.710	0.604	0.658	0.857	0.908	0.771	0.735	0.820	0.751	0.504	0.526
0.664	0.685	0.561	0.571	0.767	0.855	0.661	0.662	0.825	0.795	0.516	0.523
0.767	0.679	0.590	0.621	0.803	0.915	0.698	0.724	0.818	0.777	0.494	0.514
0.723	0.746	0.609	0.693	0.855	0.927	0.691	0.711	0.773	0.726	0.491	0.516
0.718	0.729	0.627	0.638	0.823	0.943	0.682	0.703	0.759	0.718	0.491	0.514
0.757	0.693	0.613	0.630	0.818	0.913	0.668	0.716	0.760	0.739	0.486	0.505
0.710	0.748	0.604	0.670	0.783	0.969	0.672	0.673	0.741	0.762	0.504	0.503
0.689	0.723	0.601	0.669	0.799	0.947	0.715	0.711	0.755	0.737	0.513	0.504
0.721	0.700	0.586	0.698	0.833	0.875	0.707	0.704	0.744	0.776	0.521	0.529
0.674	0.744	0.590	0.605	0.855	0.826	0.659	0.659	0.737	0.778	0.504	0.503